,hour,longitude,latitude,value
729,7,104.0555,30.6808,7
730,7,103.8691,30.711,5
731,7,104.0375,30.6279,14
732,7,104.0783,30.4996,3
733,7,103.8412,30.6867,23
734,7,103.9182,30.583,5
735,7,104.0756,30.5575,10
736,7,104.1167,30.6869,13
737,7,104.0161,30.7032,7
738,7,104.02,30.6846,12
739,7,103.9997,30.6284,11
740,7,104.1849,30.5698,5
741,7,104.0541,30.6198,11
742,7,104.0282,30.6693,11
743,7,104.1266,30.6583,6
744,7,104.1615,30.6322,9
745,7,104.2817,30.8879,14
746,7,104.1084,30.6147,3
747,7,104.0176,30.584,7
748,7,104.1727,30.6517,5
749,7,104.0431,30.6674,3
750,7,104.2094,30.8869,11
751,7,104.0664,30.6382,3
752,7,103.8171,30.6864,6
753,7,104.1121,30.7208,4
754,7,103.8755,30.7907,5
755,7,103.8298,30.6933,16
756,7,104.0496,30.6975,4
757,7,104.091,30.6046,7
758,7,104.0112,30.6695,12
759,7,103.8659,30.7834,5
760,7,104.1009,30.711,3
761,7,104.0709,30.6724,16
762,7,104.1899,30.6641,5
763,7,104.084,30.6223,6
764,7,104.15,30.8115,7
765,7,104.0004,30.6092,3
766,7,103.8268,30.7203,7
767,7,103.634,30.998,13
768,7,104.0975,30.6644,7
769,7,104.2245,30.5215,3
770,7,103.9138,30.8093,16
771,7,103.8764,30.832,4
772,7,103.6655,30.9777,16
773,7,104.4039,30.8705,7
774,7,103.6431,31.0108,9
775,7,103.6624,31.0007,28
776,7,104.0452,30.7603,3
777,7,103.8178,30.4165,3
778,7,103.9933,30.7363,5
779,7,103.8026,30.6941,3
780,7,104.0406,30.6556,9
781,7,104.0786,30.7016,5
782,7,103.6191,30.9965,4
783,7,104.1064,30.7754,3
784,7,103.66,30.9864,7
785,7,104.0296,30.6448,10
786,7,104.0367,30.6089,6
787,7,104.1761,30.8409,4
788,7,104.0736,30.5394,4
789,7,104.191,30.8139,11
790,7,104.2747,30.8989,4
791,7,104.2726,30.8767,5
792,7,103.9651,30.5852,4
793,7,104.1437,30.6737,28
794,7,104.2649,30.5446,28
795,7,104.1197,30.7689,6
796,7,103.8779,30.6765,4
797,7,103.9168,30.6071,5
798,7,104.2573,30.8874,12
799,7,103.9912,30.691,14
800,7,103.6358,30.9726,7
801,7,104.1259,30.6132,4
802,7,104.0686,30.6478,6
803,7,103.945,30.7828,4
804,7,104.089,30.6526,9
805,7,104.0742,30.7699,5
806,7,103.9438,30.5802,4
807,7,103.9727,30.7669,8
808,7,104.1908,30.8284,8
809,7,103.9299,30.968,4
810,7,103.965,30.6231,6
811,7,103.9691,30.6895,7
812,7,104.0512,30.7151,3
813,7,104.1637,30.6212,5
814,7,103.6432,30.6993,5
815,7,103.9186,30.7611,7
816,7,104.007,30.581,4
817,7,104.0246,30.6951,5
818,7,103.6507,30.9709,15
819,7,104.0363,30.6882,4
820,7,104.1368,30.6097,5
821,7,103.6331,30.9847,11
822,7,103.671,30.6192,5
823,7,104.0392,30.5624,7
824,7,103.8505,30.7189,3
825,7,103.6489,30.9827,26
826,7,104.065,30.6867,6
827,7,103.9759,30.6763,3
828,7,104.1004,30.6848,4
829,7,103.9797,30.7512,5
830,7,104.0789,30.6,13
831,7,103.6582,31.0109,22
832,7,103.8352,30.7029,4
833,7,104.1934,30.6536,4
834,7,104.0659,30.5742,4
835,7,104.2332,30.8439,4
836,7,103.9272,30.7779,5
837,7,104.0665,30.7304,4
838,7,104.1774,30.8121,10
839,7,104.1723,30.8031,6
840,7,104.1122,30.6957,4
841,7,104.0551,30.5599,8
842,7,103.8462,30.6774,6
843,7,104.0613,30.658,11
844,7,104.1575,30.8226,9
845,7,103.6464,31.002,17
846,7,104.2757,30.5622,6
847,7,103.8362,30.674,10
848,7,104.2867,30.5703,29
849,7,104.0437,30.6362,5
850,8,103.6666,30.9971,6
851,8,104.068,30.6676,4
852,8,104.0347,30.6428,19
853,8,104.2489,30.5808,31
854,8,103.9542,30.9681,3
855,8,103.7369,30.5876,26
856,8,103.645,30.9632,25
857,8,104.2802,30.8769,7
858,8,103.9065,30.8366,4
859,8,103.8417,30.699,5
860,8,104.1561,30.6618,5
861,8,103.8178,30.6934,17
862,8,103.9793,30.6149,5
863,8,104.4418,30.8612,4
864,8,104.0542,30.5636,6
865,8,104.0496,30.6891,5
866,8,104.2956,30.8848,3
867,8,103.8923,30.8118,11
868,8,103.9179,30.6308,11
869,8,103.6818,30.626,6
870,8,103.8543,30.7063,5
871,8,103.5328,30.5707,3
872,8,104.0115,30.5483,5
873,8,104.1311,30.6521,9
874,8,104.078,30.5082,3
875,8,103.8641,30.6823,18
876,8,103.6647,30.9871,9
877,8,104.1849,30.8249,4
878,8,104.2463,30.8925,4
879,8,104.0651,30.6014,3
880,8,103.6675,30.9756,31
881,8,104.0383,30.6571,5
