1.匿名的用户 ID ,2.使用者的当前位置信息 ,3.使用者的上车位置信息 ,4.使用者的下车位置信息 ,5.使用者的出发地位置信息(订单里面设定的出发地) ,6.结果对象信息 ,7.订单发起时间 ,8.订单结束时间 
9539679,"123.402448,41.831246","123.40531843825,41.831145096401","123.47325000103,41.836114625643","辽宁大学崇山校区-南门对面,123.40389,41.83119","上园路|百味王零食坊(上园店),123.473979,41.835775",2018/8/8 17:04,2018/8/8 17:18
9809777,"123.502059,41.773126","123.49866554384,41.773113750325","123.46314287671,41.723554941127","方家栏路|招商银行(沈阳方家栏支行)西侧,123.50222,41.77304","浑南区|沈阳市公安局交通警察局,123.46305,41.72332",2018/8/8 9:35,2018/8/8 10:01
10254320,"123.454218,41.813851","123.45478526851,41.813591668815","123.48931732438,41.832407215446","大东区教育局小北幼儿园-东北门,123.45484,41.81376","联合路|城市立方,123.48939,41.83246",2018/8/8 16:28,2018/8/8 16:46
10266704,"123.37195,41.830494","123.37267708836,41.831169313881","123.40977846529,41.82712363939","华锐塔湾欣城-东南门,123.37269,41.83118","黄河|经典生活,123.40964,41.82711",2018/8/8 9:25,2018/8/8 9:45
10277974,"123.462722,41.690264","123.46279932825,41.690275181804","123.4589216885,41.707960007578","智慧四街|保利·紫荆公馆附近,123.46287,41.69013","浑南区|华新名筑,123.458475,41.70656",2018/8/8 18:12,2018/8/8 18:18
10297174,"123.507827,41.932099","123.51527254316,41.936339553495","123.54586726865,41.942115834203","虎石台|辽宁省交通高等专科学校(东门),123.51526,41.93633","大东区|沈阳东泽印刷有限公司,123.54449,41.94189",2018/8/8 11:29,2018/8/8 11:41
10297418,"123.419856,41.8186","123.42004279201,41.818638844719","123.42112094306,41.866859642596","黄河|沈阳市第四人民医院眼科(南门),123.419504,41.81882","三台子|沈阳二四二医院,123.422396,41.865444",2018/8/8 13:38,2018/8/8 14:03
10362661,"123.439204,41.79402","123.43907009549,41.795019802517","123.45244249132,41.815000813802","大西|沈阳市实验学校小学三部,123.43921,41.79503","小北手机交易市场,123.45245,41.815",2018/8/8 13:23,2018/8/8 13:35
10486829,"123.456353,41.810182","123.45674524878,41.810442649627","123.51275082432,41.820664080475","小北|中国医大第一医院大东医院-东门,123.45669,41.81173","大东区|沈阳市八家子水果批发市场,123.5139,41.82231",2018/8/8 3:10,2018/8/8 3:22
10675498,"123.207617,41.76432","123.20769290046,41.763958781983","123.3416222112,41.744559563731","开发大路|三一重装国际控股有限公司-西北门,123.20763,41.76406","城东湖|碧桂园银河城,123.34427,41.74567",2018/8/8 20:52,2018/8/8 21:21
10732787,"123.469942,41.833979","123.47058365821,41.833581391779","123.43102304946,41.832373765785","望花|祥和家园-东门,123.47054,41.83356","崇山|辽宁中医药大学附属医院,123.43054,41.831403",2018/8/8 6:52,2018/8/8 7:02
10862460,"123.399754,41.782186","123.39966658613,41.782167380102","123.4406967931,41.712260213684","民主|沈阳金水蓝湾温泉度假酒店(南五马路店),123.399724,41.782173","浑南区|育才人家,123.44066,41.71229",2018/8/8 22:26,2018/8/8 22:50
10978498,"123.413035,41.87106","123.41297624891,41.870859750493","123.39956799685,41.873527805247","中通快递(中通国奥营业厅),123.41308,41.87082","怒江北街|华锐桃源欣城,123.40108,41.8741",2018/8/8 21:11,2018/8/8 21:21
11482136,"123.457125,41.730387","123.45739906135,41.730512849573","123.47391093999,41.738951701715","营盘西街|营盘街-A口,123.45701,41.73049","浑南区|坤泰新界,123.47389,41.73901",2018/8/8 18:18,2018/8/8 18:29
11501981,"123.36266,41.830755","123.36328553173,41.830740125839","123.38238701049,41.818969677841","明廉中心幼儿园-西北门对面,123.36323,41.83076","皇姑区|中海寰宇天下·天喜(北门),123.3822,41.81895",2018/8/8 8:00,2018/8/8 8:21
11740366,"123.49541,41.747825","123.49383092155,41.748438556271","123.4352385376,41.807006014923","浑南新区|华润·奉天九里,123.49392,41.74828","市府广场|卓展购物中心,123.434402,41.80879",2018/8/8 9:45,2018/8/8 10:21
11874973,"123.331766,41.792792","123.33131293403,41.792807888455","123.29928900825,41.771399197049","南十一西路与赞工街交叉口,123.33136,41.79262","铁西区|富顿公馆,123.2997,41.77092",2018/8/8 17:53,2018/8/8 18:11
12012683,"123.526056,41.815488","123.52680342194,41.814393381444","123.4560497132,41.818412807211","新蔡街|保利·香槟国际营销中心西南侧,123.52691,41.81441","华为终端授权服务中心(小北关街),123.45203,41.814272",2018/8/8 14:47,2018/8/8 15:10
12239873,"123.377366,41.808028","123.37591206917,41.807192599538","123.4002343841,41.792188382628","北二中路|星摩尔沈阳购物广场,123.376379,41.808561","胜利|万达广场(太原街店),123.39966,41.79227",2018/8/8 12:15,2018/8/8 12:37
12957265,"123.475758,41.778471","123.47556438895,41.778235362455","123.39528835062,41.793367923445","泉园小区,123.47554,41.77814","胜利|沈阳站,123.39489,41.79457",2018/8/8 19:51,2018/8/8 20:22
13171309,"123.455234,41.742887","123.45483513929,41.742578609804","123.51330211633,41.751455775278","营盘北街|哈哈香美食餐亭(奥体A口店),123.45483,41.74273","浑南区第五小学,123.51331,41.75145",2018/8/8 17:28,2018/8/8 17:46
13237045,"123.425876,41.775591","123.4280191779,41.773819454428","123.46451329835,41.801320355781","文化路|中国医科大学附属盛京医院南湖院区-东门,123.427801,41.773528","中街|盾安新一城(东顺城街),123.46446,41.80315",2018/8/8 15:02,2018/8/8 15:33
13318253,"123.436106,41.808954","123.43606300034,41.808996545623","123.43459976801,41.715841669634","市府广场|奚记串吧(市府店),123.43628,41.80901","浑南区|万科·新榆公馆,123.432352,41.715756",2018/8/8 20:50,2018/8/8 21:18
14255168,"123.457746,41.72973","123.45758924696,41.730633409288","123.43299506293,41.771178656684","银卡路|营盘街站A口东侧,123.45732,41.73061","文化路|辽宁广播电视台(五里河街),123.432513,41.770102",2018/8/8 9:52,2018/8/8 10:13
14373577,"123.468217,41.736044","123.46747314791,41.735934136796","123.48462324314,41.745378325728","金卡路|英伦玫瑰女子会馆东南侧,123.46792,41.73606","浑南区|金地国际花园,123.484507,41.743211",2018/8/8 14:05,2018/8/8 14:23
14681767,"123.440697,41.805692","123.4407659611,41.805927514825","123.39563211059,41.807270651113","朱剪炉|恒运商务大厦,123.44102,41.80582","霁虹|和皇家园二期,123.394239,41.806383",2018/8/8 16:01,2018/8/8 16:19
14722600,"123.432253,41.805865","123.36031826212,41.796142041749","123.43792921894,41.75917516183","兴顺|友谊购物中心,123.36067,41.7965","五里河|沈阳市图书馆,123.437345,41.760531",2018/8/8 10:11,2018/8/8 10:49
14883661,"123.397088,41.78892","123.39794433594,41.78856499566","123.44081000434,41.796988661024","胜利|沈阳五金机电城(南门),123.396614,41.789466","大西|奉天街193号,123.44107,41.79731",2018/8/8 10:56,2018/8/8 11:21
15536927,"123.421758,41.789048","123.42195145363,41.789051564859","123.43179432129,41.765386665801","南四经街|沈阳市和平区南市场社区卫生服务中心,123.4218,41.78914","文化路|新诚大停车场,123.43139,41.76551",2018/8/8 14:16,2018/8/8 14:35
15568117,"123.415043,41.761616","123.41493869358,41.761618381076","123.39695882161,41.794825846354","东北大学南门-公交站,123.414973,41.76163","胜利|沈阳站西进(出站口),123.39171,41.79526",2018/8/8 15:55,2018/8/8 16:19
16043539,"123.395017,41.826224","123.39533468481,41.825940887899","123.38331356566,41.894738876815","岐山西路|成大方圆新药特药(延河街分店),123.39549,41.826","皇姑区|保利·溪湖林语四期,123.380566,41.894828",2018/8/8 21:33,2018/8/8 21:55
16193421,"123.458188,41.67553","123.45379743915,41.676777406709","123.38385782704,41.678743322805","智慧二街|辽宁省图书馆,123.45384,41.67785","苏家屯区|沈阳奥园国际城(北区),123.38327,41.67764",2018/8/8 13:56,2018/8/8 14:16
16230834,"123.398958,41.81979","123.39977721718,41.82020246011","123.39985738857,41.820161407603","华山|汇宝国际花园B区-北门,123.39978,41.82013","沈河区|CGV星聚汇影城(沈阳金融中心店),123.43668,41.81186",2018/8/8 22:33,2018/8/8 22:39
16686297,"123.420936,41.797945","123.42002988746,41.797533533461","123.4005893632,41.816632091865","八经|中国联合通信公司辽宁分公司,123.42028,41.79735","华山|汇宝国际花园A区,123.394511,41.820072",2018/8/8 20:05,2018/8/8 20:23
17180346,"123.411374,41.839366","123.41132402585,41.83925354654","123.4743222713,41.875896214965","长江街泰山路-公交站路西,123.41141,41.83897","皇姑区|华峰鞋业,123.473961,41.875063",2018/8/8 12:47,2018/8/8 13:16
19039400,"123.391779,41.776086","123.39195363002,41.776076056713","123.4332648409,41.765071239051","新华|沈阳市和平区人民检察院,123.39185,41.77627","文化路|云顶大厦,123.43384,41.7655",2018/8/8 13:38,2018/8/8 14:02
19846565,"123.392521,41.876912","123.39272992493,41.876778791736","123.4061370625,41.873561983622","怒江北街|鑫跃亮养殖场-北门附近,123.39281,41.87673","于洪区|万科长江府(建设中),123.40514,41.873566",2018/8/8 15:03,2018/8/8 15:09
20074747,"123.385265,41.799396","123.38419301585,41.799063270574","123.37581860653,41.796674555689","北三东路|青年居易-南门,123.38418,41.7991","云峰|猿来·N年以前徒手餐厅(应昌街店),123.37571,41.79654",2018/8/8 8:54,2018/8/8 9:05
20781977,"123.432818,41.778525","123.43225585938,41.778385687934","123.4273952908,41.764509277344","春河里-东门,123.43251,41.77929","文化路|同方广场A座,123.42731,41.76437",2018/8/8 11:28,2018/8/8 11:45
